n,detuning_MHz,amplitude_scale,target_probability
1,-4.0,0.9,0.9499439656861306
1,-4.0,0.92,0.9615116424150015
1,-4.0,0.9400000000000001,0.9714026895647018
1,-4.0,0.9600000000000001,0.97956104790543
1,-4.0,0.9800000000000001,0.985963768144471
1,-4.0,1.0,0.990587484835214
1,-4.0,1.02,0.9934137996310858
1,-4.0,1.04,0.9944366814564211
1,-4.0,1.06,0.9936483809681069
1,-4.0,1.08,0.9910535273073932
1,-4.0,1.1,0.9866597878018859
1,-3.5,0.9,0.9511358618308026
1,-3.5,0.92,0.9627245157168058
1,-3.5,0.9400000000000001,0.9726347856201347
1,-3.5,0.9600000000000001,0.9808105921178664
1,-3.5,0.9800000000000001,0.9872289311943893
1,-3.5,1.0,0.991866389272396
1,-3.5,1.02,0.9947046340206548
1,-3.5,1.04,0.995736840284715
1,-3.5,1.06,0.9949568734387273
1,-3.5,1.08,0.9923684037010804
1,-3.5,1.1,0.9879779946895614
1,-3.0,0.9,0.9521698282145512
1,-3.0,0.92,0.9637789553187774
1,-3.0,0.9400000000000001,0.973703631753204
1,-3.0,0.9600000000000001,0.9818945771997969
1,-3.0,0.9800000000000001,0.9883264674241375
1,-3.0,1.0,0.9929758481848172
1,-3.0,1.02,0.9958244500165228
1,-3.0,1.04,0.9968652287552615
1,-3.0,1.06,0.9960920102403765
1,-3.0,1.08,0.9935075122860932
1,-3.0,1.1,0.9891215625874791
1,-2.5,0.9,0.9530454065202433
1,-2.5,0.92,0.9646700960166725
1,-2.5,0.9400000000000001,0.9746087507384693
1,-2.5,0.9600000000000001,0.9828125156098706
1,-2.5,0.9800000000000001,0.9892558816473752
1,-2.5,1.0,0.9939153587299858
1,-2.5,1.02,0.9967727350327107
1,-2.5,1.04,0.997820777854551
1,-2.5,1.06,0.9970532688971608
1,-2.5,1.08,0.9944731025129411
1,-2.5,1.1,0.9900899603823399
1,-2.0,0.9,0.9537622084275201
1,-2.0,0.92,0.9653984977083945
1,-2.0,0.9400000000000001,0.9753497371410517
1,-2.0,0.9600000000000001,0.9835639956908239
1,-2.0,0.9800000000000001,0.9900167543467517
1,-2.0,1.0,0.994684494832617
1,-2.0,1.02,0.9975501960685502
1,-2.0,1.04,0.9986030480086295
1,-2.0,1.06,0.9978402067587526
1,-2.0,1.08,0.9952635845662913
1,-2.0,1.1,0.9908827359640603
1,-1.5,0.9,0.9543199159068934
1,-1.5,0.92,0.9659645303642198
1,-1.5,0.9400000000000001,0.9759262598253285
1,-1.5,0.9600000000000001,0.9841486796041522
1,-1.5,0.9800000000000001,0.9906087422581024
1,-1.5,1.0,0.9952829075564339
1,-1.5,1.02,0.9981541346146523
1,-1.5,1.04,0.9992116810974285
1,-1.5,1.06,0.9984529852478473
1,-1.5,1.08,0.9958785921767159
1,-1.5,1.1,0.9914995207340792
1,-1.0,0.9,0.9547182814310039
1,-1.0,0.92,0.9663699402310891
1,-1.0,0.9400000000000001,0.9763380607716164
1,-1.0,0.9600000000000001,0.9845663041818259
1,-1.0,0.9800000000000001,0.9910315776621242
1,-1.0,1.0,0.9957103255321132
1,-1.0,1.02,0.9985854921077933
1,-1.0,1.04,0.9996463976891348
1,-1.0,1.06,0.9988903417177794
1,-1.0,1.08,0.9963178405046905
1,-1.0,1.1,0.9919419216182839
1,-0.5,0.9,0.954957128137774
1,-0.5,0.92,0.9666155685822239
